feature,coef,abs_coef
verification_status_Not Verified,-0.6485281170714631,0.6485281170714631
grade_A,-0.5815556828279749,0.5815556828279749
grade_B,-0.4892507973521905,0.4892507973521905
home_ownership_MORTGAGE,-0.28850299067336954,0.28850299067336954
purpose_credit_card,-0.2623500974752177,0.2623500974752177
verification_status_Verified,0.21599659832837878,0.21599659832837878
grade_E,0.21477550108747623,0.21477550108747623
home_ownership_RENT,-0.17101657996499858,0.17101657996499858
grade_D,0.15725836991575504,0.15725836991575504
verification_status_Source Verified,-0.12426054690255979,0.12426054690255979
grade_F,0.10766874741607979,0.10766874741607979
purpose_debt_consolidation,-0.10413807783321047,0.10413807783321047
home_ownership_OWN,-0.09556865833646305,0.09556865833646305
purpose_other,-0.08857170264363962,0.08857170264363962
addr_state_IL,-0.052974088587966844,0.052974088587966844
addr_state_CA,-0.049092492488283374,0.049092492488283374
int_rate,0.040089903397049646,0.040089903397049646
addr_state_CO,-0.04003471065800544,0.04003471065800544
purpose_home_improvement,-0.03660876350875183,0.03660876350875183
addr_state_GA,-0.03658033046206406,0.03658033046206406
addr_state_TX,-0.03491308429102113,0.03491308429102113
addr_state_WA,-0.033801714031260144,0.033801714031260144
grade_G,0.03193193703194222,0.03193193703194222
addr_state_FL,-0.030383155510848647,0.030383155510848647
addr_state_OR,-0.029568232226779415,0.029568232226779415
