grade,loans,default_rate,avg_int_rate,avg_loan_amnt
A,433027,0.034847711574566946,7.084557521817346,14603.343209545825
B,663557,0.0842821340141088,10.67581910823034,14173.33819852703
C,650053,0.14007934737629085,14.143792829200082,15038.083317821778
D,324424,0.19921769042980791,18.143303701329124,15711.98300680591
E,135639,0.27832702983655144,21.82984820000147,17453.078391907933
F,41800,0.36066985645933014,25.454203110047846,19124.64653110048
G,12168,0.3952991452991453,28.074255424063114,20383.988740959896
